the_month,LGA_NAME23,class,kwh,nmi_count
2022-09-01,Murrindindi,Commercial,1860074.2049,1545
2022-09-01,Murrindindi,Industrial,956804.1631,27
2022-09-01,Murrindindi,Residential,4943824.1521,8152
2022-09-01,Nillumbik,Commercial,2697548.9857,1673
2022-09-01,Nillumbik,Industrial,4222253.695300001,53
2022-09-01,Nillumbik,Residential,12433162.9586,22605
2022-09-01,Snowy Valleys,Residential,354.785,3
2022-09-01,South Gippsland,Commercial,4615369.14579,3456
2022-09-01,South Gippsland,Industrial,7306739.925,57
2022-09-01,South Gippsland,Residential,8826600.99451,17076
2022-09-01,Strathbogie,Commercial,1366656.965,1262
2022-09-01,Strathbogie,Industrial,903408.5902,31
2022-09-01,Strathbogie,Residential,2889855.0665,5579
2022-09-01,Towong,Commercial,935621.6889,939
2022-09-01,Towong,Industrial,236629.982,8
2022-09-01,Towong,Residential,1817927.72488,3190
2022-09-01,Unincorporated Vic,Commercial,3419604.376,597
2022-09-01,Unincorporated Vic,Industrial,1180039.9581,17
2022-09-01,Unincorporated Vic,Residential,1677187.6749,1587
2022-09-01,Wangaratta,Commercial,3006413.4809,2591
2022-09-01,Wangaratta,Industrial,7474029.4847,70
2022-09-01,Wangaratta,Residential,6317229.1671,13819
2022-09-01,Wellington,Commercial,6422433.2591,4620
2022-09-01,Wellington,Industrial,5335738.0273,113
2022-09-01,Wellington,Residential,10087827.1834,23424
2022-09-01,Whitehorse,Residential,7040.583,17
2022-09-01,Whittlesea,Commercial,11063372.73489,6635
2022-09-01,Whittlesea,Industrial,27954488.3466,375
2022-09-01,Whittlesea,Residential,31250186.00238,85402
2022-09-01,Wodonga,Commercial,2841118.5439,1830
2022-09-01,Wodonga,Industrial,13084160.8918,114
2022-09-01,Wodonga,Residential,6922504.1061,18772
2022-09-01,Yarra Ranges,Commercial,8457801.55443,6211
2022-09-01,Yarra Ranges,Industrial,11520401.8862,230
2022-09-01,Yarra Ranges,Residential,29022382.22255,61739
2022-10-01,Alpine,Commercial,1906208.5932,1561
2022-10-01,Alpine,Industrial,2273849.7021,23
2022-10-01,Alpine,Residential,3778150.6026,7721
2022-10-01,Banyule,Commercial,1805468.7412,1397
2022-10-01,Banyule,Industrial,3335421.471,58
2022-10-01,Banyule,Residential,7608592.8422,22945
2022-10-01,Bass Coast,Commercial,3550406.5625,2412
2022-10-01,Bass Coast,Industrial,2297784.1471,61
2022-10-01,Bass Coast,Residential,10750661.4423,30067
2022-10-01,Baw Baw,Commercial,5381236.8465,3889
2022-10-01,Baw Baw,Industrial,9549446.6276,104
2022-10-01,Baw Baw,Residential,10049281.3736,25142
2022-10-01,Benalla,Commercial,1238667.7858,1238
2022-10-01,Benalla,Industrial,4298081.888,30
2022-10-01,Benalla,Residential,2742305.9157,7128
2022-10-01,Brimbank,Commercial,286.1424,1
2022-10-01,Cardinia,Commercial,7084437.5629,4829
2022-10-01,Cardinia,Industrial,11870312.6005,182
2022-10-01,Cardinia,Residential,17421162.5366,44620
2022-10-01,Casey,Commercial,9619245.9418,5588
2022-10-01,Casey,Industrial,19606580.147,346
2022-10-01,Casey,Residential,34741330.13649,109672
2022-10-01,Darebin,Commercial,258314.5819,126
2022-10-01,Darebin,Industrial,944889.8975,20
2022-10-01,Darebin,Residential,820475.1655,2322
2022-10-01,East Gippsland,Commercial,4675519.8117,4006
2022-10-01,East Gippsland,Industrial,5356891.1232,85
2022-10-01,East Gippsland,Residential,10623904.7369,25916
2022-10-01,Federation,Commercial,3.212,1
2022-10-01,Frankston,Commercial,37300.1422,16
